Data de referência,Prazo médio de repactuação
2018-02-02,1123.108346626371651454134664
2018-02-05,1119.037222138695308605649576
2018-02-06,1119.020835901014402379089949
2018-02-07,1118.074786596435129849663858
2018-02-08,1116.330555643274413482805186
2018-02-09,1114.184532168878130018130346
2018-02-14,1110.458041555613593760356454
2018-02-15,1108.385017280024986667365844
2018-02-16,1108.103361657791066160642689
2018-02-19,1105.467205946959825143571441
2018-02-20,1104.338320019674936604460936
2018-02-21,1103.749293524368590487551340
2018-02-22,1102.696335121689306205358960
2018-02-23,1102.921815460489005608863015
2018-02-26,1100.078395792754636133914811
2018-02-27,1099.117188638915430003750285
2018-02-28,1098.452600486427973861466532
2018-03-01,1097.702508212846012039726526
2018-03-02,1007.374182671733414857943260
2018-03-05,1003.710890364440829965857355
2018-03-06,1002.836589727141928040670498
2018-03-07,1001.992983812291315339376091
2018-03-08,1001.337690761279080007411997
2018-03-09,1000.641339440931688804380006
2018-03-12,998.6412515524963888957366040
2018-03-13,998.2920721587963874310739870
2018-03-14,997.5771685073259381865334212
2018-03-15,996.2616261020946047131613623
2018-03-16,996.1882390580811797046096089
2018-03-19,993.5507738972382058382460353
2018-03-20,991.9054566784521046414180428
2018-03-21,991.1538846981157623209286267
2018-03-22,992.6347611520798162989874011
2018-03-23,992.3212301901185721089841066
2018-03-26,990.5820080251058499145491936
2018-03-27,989.6531701368105060051095923
2018-03-28,988.5512531774877075288275835
2018-03-29,988.5362923538407929271972166
2018-04-02,984.5574832524665263353819662
2018-04-03,987.1346669386177388652204995
2018-04-04,985.3851140364320343208486678
2018-04-05,984.7000483838206592663297339
2018-04-06,983.7541527421216918034485686
2018-04-09,981.0642146794168162514230489
2018-04-10,980.1678640927221209035368927
2018-04-11,978.7134751278675132315357305
2018-04-12,977.8879882944329130177182290
2018-04-13,977.3951188057729050316002318
2018-04-16,974.3263317527454704568026429
2018-04-17,973.4211999203081677816380348
2018-04-18,973.0558557689958222770302376
2018-04-19,972.3544228714737148789541472
2018-04-20,971.2840053344544964427773575
2018-04-23,967.6516535311769551900825056
2018-04-24,966.7061432093006606134710776
2018-04-25,966.2099640741236806055060163
2018-04-26,965.6294593168071974040586840
2018-04-27,965.3639021302704779399196077
2018-04-30,962.5610821591644124754480158
2018-05-02,960.8169244859183568310410734
2018-05-03,1053.569039771814146860538445
2018-05-04,1052.419539387815513892394492
2018-05-07,1049.649550123873908513745893
2018-05-08,1047.644171691654696261635263
2018-05-09,1045.153850326549350027292619
2018-05-10,1046.205147932056059695000624
2018-05-11,1044.644480827241174627844715
2018-05-14,1041.390007084250356217207687
2018-05-15,1039.580301673465097413742779
2018-05-16,1039.352274442812387213113058
2018-05-17,1036.872169432744048068283524
2018-05-18,1033.318239180352020107590608
2018-05-21,1031.891376307988724281476882
2018-05-22,1031.964271490778474071056960
2018-05-23,1030.084724515358516166205447
2018-05-24,1028.948878961983442565722990
2018-05-25,1027.627259621902520553108948
2018-05-28,1024.730384225382800071911530
2018-05-29,1023.013523779733728584267065
2018-05-30,1022.181506522318583867015658
2018-06-01,1021.315529509625201861541752
2018-06-04,1051.166769715329227795325267
2018-06-05,1045.670178187122771770188445
2018-06-06,1043.725784657008352270282589
2018-06-07,1040.388578510238983260492343
2018-06-08,1040.570964232528438105821391
2018-06-11,1039.928926753236797123366584
2018-06-12,1038.663253154822718541886732
2018-06-13,1036.340264026209221073397306
2018-06-14,1032.426131981018120114331558
2018-06-15,1034.624838456000767445861750
2018-06-18,1033.191645002092796413633662
2018-06-19,1033.101266036823125459230734
2018-06-20,1032.906173128898713793889399
2018-06-21,1031.337000788456143812564470
2018-06-22,1029.189940024945496448485898
2018-06-25,1028.447635911199808587862731
2018-06-26,1028.244536124811963139485481
2018-06-27,1025.821270918777529390185656
2018-06-28,1026.386173988424114987161294
2018-06-29,1025.961629970807383946597801
2018-07-02,1023.831705623345613846921152
2018-07-03,1035.096907476627105792526534
2018-07-04,1033.911686827215868347322095
2018-07-05,1032.540270178010328622191657
2018-07-06,1032.577554826320948955807298
2018-07-09,1030.835898970351719647797163
2018-07-10,1030.957685767740383835763978
2018-07-11,1029.136759112740230479029033
2018-07-12,1027.707875457109156003132969
2018-07-13,1027.754757977582565472540657
2018-07-16,1025.043237515813533793101803
2018-07-17,1024.801817134046090026327447
2018-07-18,1023.892559843554647896883274
2018-07-19,1023.846169541690405781922137
2018-07-20,1024.670972916854631277453967
2018-07-23,1021.754909372906310888827919
2018-07-24,1020.993238819289917051880699
2018-07-25,1021.630854661992764823855411
2018-07-26,1019.828362279164416313822721
2018-07-27,1019.429944603708275102187564
2018-07-30,1017.121075690554936351472333
2018-07-31,1016.290378200258514624300305
2018-08-01,1016.044885873012023815211652
2018-08-02,1035.497118234089445116094652
2018-08-03,1034.670834573353510429912967
2018-08-06,1033.592695865380714166416331
2018-08-07,1032.382481254142897932528724
2018-08-08,1031.535956662968385914942866
2018-08-09,1029.203113281622090090431115
2018-08-10,1025.766259309262567900534547
2018-08-13,1023.721757162592316420218034
2018-08-14,1025.788452616400055755206094
2018-08-15,1024.802987700506327637514281
2018-08-16,1023.915970475695187920789148
2018-08-17,1023.588195551555515086898396
2018-08-20,1020.339103976878382536857015
2018-08-21,1016.423185808352883178107111
2018-08-22,1018.708430656541938914294066
2018-08-23,1016.601914944645559296313872
2018-08-24,1016.403884379722537093843440
2018-08-27,1015.595678769897789669200753
2018-08-28,1013.462210910111856086228081
2018-08-29,1013.329207001312041150391133
2018-08-30,1009.247545280667552373988611
2018-08-31,1009.554280867709740705177164
2018-09-03,1006.007804644721648539618927
2018-09-04,1022.208145745428584618867925
2018-09-05,1019.464081930669935501973193
2018-09-06,1019.528243717356739317168492
2018-09-10,1015.662815507087828494484290
2018-09-11,1014.998080365758559120192390
2018-09-12,1015.171043743452132420530617
2018-09-13,1013.439353648036425819730585
2018-09-14,1014.292034125198032384436171
2018-09-17,1012.840146708053955331882869
2018-09-18,1012.293534419295096880308571
2018-09-19,1011.440605944365773105863724
2018-09-20,1010.677521239096031867321016
2018-09-21,1010.594212256570323949923479
2018-09-24,1007.847543723008220805445035
2018-09-25,1007.090500112693384539128624
2018-09-26,1006.540326713266110202059974
2018-09-27,1006.350852774265591302728913
2018-09-28,1004.158483862862084574846345
2018-10-01,1001.575813899015490564225451
2018-10-02,1005.859526828563760522764192
2018-10-03,1005.424595169368135349889500
2018-10-04,1006.362154145470141010628844
2018-10-05,1004.935749253872739348077885
2018-10-08,1008.033129833010836484467793
2018-10-09,1009.480991863910702048035043
2018-10-10,1007.798400231971400069902750
2018-10-11,1007.488900768063153167427781
2018-10-15,1003.714261512688369052909827
2018-10-16,1004.296557491422194627278764
2018-10-17,1005.215549963087292660737093
2018-10-18,1003.504616010915180617337526
2018-10-19,1002.956966242858832743015161
2018-10-22,1002.073826870546019531027977
2018-10-23,1001.483237212360754712805150
2018-10-24,1000.392035758450611121955945
2018-10-25,999.0003756278188383763672562
2018-10-26,1000.404339435968874609245552
2018-10-29,997.6329012866714950000275891
2018-10-30,997.5937084352387983579813642
2018-10-31,996.8721078583638833179318111
2018-11-01,996.8645123355279817561907627
2018-11-05,1088.992173625252732651112702
2018-11-06,1085.280526126192042613263095
2018-11-07,1083.967490390873387546062246
2018-11-08,1082.576240964802751841380597
2018-11-09,1080.981476095480241038187833
2018-11-12,1078.262693372343538908042614
2018-11-13,1077.192120564284121158004201
2018-11-14,1077.734865026300456191393717
2018-11-16,1078.727440046198816767078300
2018-11-19,1075.949764254176199705522101
2018-11-20,1075.253862222699925480412976
2018-11-21,1075.829185170616585522119716
2018-11-22,1075.670531617900680266146772
2018-11-23,1074.073205226708770387768552
2018-11-26,1069.551362107550283001908878
2018-11-27,1068.935278729491679788988693
2018-11-28,1069.300378351946104245282506
2018-11-29,1068.474147467744571440828393
2018-11-30,1068.409413439923482316426865
2018-12-03,1065.860932095178152273852784
2018-12-04,1093.998905891500656493608104
2018-12-05,1093.208871356281676131333173
2018-12-06,1092.857534774581259080591044
2018-12-07,1092.615409767365494495768810
2018-12-10,1089.688261001427641481165396
2018-12-11,1087.942141823942629877248543
2018-12-12,1088.504184316433728166780900
2018-12-13,1088.328707892476597046578720
2018-12-14,1087.715746302104696454350258
2018-12-17,1078.778982442216726720440169
2018-12-18,1078.031653140863209701511843
2018-12-19,1077.849578619324066803500603
2018-12-20,1077.550072666539987370989597
2018-12-21,1076.670511810550293556888667
2018-12-24,1074.462797254349406197121251
2018-12-26,1073.649082384609767394515111
2018-12-27,1073.623059657001763014964863
2018-12-28,1072.923235834176174084635852
2018-12-31,1070.713913909973411074392681
2019-01-02,1070.142976698763833209740659
2019-01-03,1092.668247337472278645132400
2019-01-04,1091.305020168699893039721047
2019-01-07,1088.406753672904708924917216
2019-01-08,1087.939709382263084446552715
2019-01-09,1088.074226917211591449074723
2019-01-10,1087.809364182639536181887701
2019-01-11,1087.002340329245682326650427
2019-01-14,1085.649782335918303659989207
2019-01-15,1084.468869966597316948143774
2019-01-16,1084.361142064719793375922602
2019-01-17,1083.463461253307226776937795
2019-01-18,1082.768303135241372188654507
2019-01-21,1080.484133252074062161131361
2019-01-22,1080.019719062203232354400179
2019-01-23,1080.164701700602448656374937
2019-01-24,1079.482173311673733557525937
2019-01-25,1078.803293025916606800787868
2019-01-28,1076.177189780350800649013711
2019-01-29,1076.445278353689195432744779
2019-01-30,1075.104815952164657145587052
2019-01-31,1075.801501517997987170516796
2019-02-01,1076.135990311156153249621832
2019-02-04,1077.134615878958387382724121
2019-02-05,1074.316138674029747733306248
2019-02-06,1073.118724352674316090685623
2019-02-07,1071.381013802248687211650662
2019-02-08,1069.430198344691991185748121
2019-02-11,1067.608661029003744788086849
2019-02-12,1067.428976632028071452722074
2019-02-13,1067.520981883027530600677422
2019-02-14,1072.011729802165294539743653
2019-02-15,1071.196720859211354372864737
2019-02-18,1069.030183412713668102038492
2019-02-19,1068.656414678854892777847813
2019-02-20,1066.507996523757399763552627
2019-02-21,1065.766643939639666702666333
2019-02-22,1065.419086260245349144187082
2019-02-25,1062.807729635062789670553009
2019-02-26,1062.100677851118627533039408
2019-02-27,1061.606287258871377920667575
2019-02-28,1060.630717573094446537755439
2019-03-01,1060.010095494205013397295976
2019-03-06,1039.405079501281483083604318
2019-03-07,1035.047996981388352479917271
2019-03-08,1035.266003478552777504840001
2019-03-11,1034.106505441349061405257982
2019-03-12,1035.952131527920329400495382
2019-03-13,1036.329246751004188463810110
2019-03-14,1034.801171847885849860250515
2019-03-15,1034.219805600338410235995523
2019-03-18,1032.179491497083796484227443
2019-03-19,1032.423546413075872634134946
2019-03-20,1031.940461433539847606826984
2019-03-21,1030.926051232431135395472167
2019-03-22,1027.014250128717632571829957
2019-03-25,1024.530541407812162689899372
2019-03-26,1022.946290755235839321609566
2019-03-27,1019.682811265371434596788812
2019-03-28,1022.377910166380805007871221
2019-03-29,1021.771701868893031074392616
2019-04-01,1021.120156860002552103678085
2019-04-02,1095.127744803483782606947752
2019-04-03,1092.464156908521236896033981
2019-04-04,1091.877881345074799332391808
2019-04-05,1091.460057027923349421142716
2019-04-08,1088.645983015499070489009026
2019-04-09,1086.522151734470886542507331
2019-04-10,1086.418620173802291766715227
2019-04-11,1085.855994265717569181464354
2019-04-12,1085.134968166668741978043914
2019-04-15,1082.787772630544736090348663
2019-04-16,1081.813985890989890417333984
2019-04-17,1081.031082295731176824638458
2019-04-18,1080.958719998153534470263230
2019-04-22,1078.154734725109351629046262
2019-04-23,1078.505132262134348434413836
2019-04-24,1077.337254590336405915857017
2019-04-25,1076.738378735712323542493081
2019-04-26,1076.074133339482716234366528
2019-04-29,1075.329032690858960475435878
2019-04-30,1075.366635859394655670462030
2019-05-02,1073.694411999019327640112318
2019-05-03,1099.781906796074398564467244
2019-05-06,1096.325509460248941202884412
2019-05-07,1095.552310543900615776587514
2019-05-08,1095.571707058292536445567010
2019-05-09,1095.236582258119732977867401
2019-05-10,1095.000471808667282484365495
2019-05-13,1092.484698575970247936313782
2019-05-14,1093.144591257324223729742344
2019-05-15,1092.394144486665513215240746
2019-05-16,1090.635700766356969872322789
2019-05-17,1088.788540149448309524170637
2019-05-20,1085.268923511078821338706372
2019-05-21,1085.448621231221028614243501
2019-05-22,1084.632860911103012717166489
2019-05-23,1084.449899873423208877350895
2019-05-24,1084.321223137806943341095744
2019-05-27,1084.805502749450251122349581
2019-05-28,1085.970500555234345328793157
2019-05-29,1086.305433151476637657867571
2019-05-30,1085.990554661580100677001476
2019-05-31,1084.724180953200881202996668
2019-06-03,1082.925101775270345972644814
2019-06-04,1179.077045137686467375018552
2019-06-05,1174.136273735075791620130373
2019-06-06,1174.847261150769791625063914
2019-06-07,1175.451650555649492554409971
2019-06-10,1174.310756732330186774675980
2019-06-11,1174.585392904702089962103593
2019-06-12,1172.927399189610019507709216
2019-06-13,1172.068648097703102567150933
2019-06-14,1172.186942537034337508772073
2019-06-17,1168.940916558898489616960718
2019-06-18,1167.914533114330043622595276
2019-06-19,1166.972130391268254628173288
2019-06-21,1167.735197285140066190648563
2019-06-24,1167.222965023203274873202980
2019-06-25,1165.688487106200910502217614
2019-06-26,1165.971436029623774877159549
2019-06-27,1165.480825267431179032440255
2019-06-28,1165.585476917902849405866549
2019-07-01,1163.688255179529126895105385
2019-07-02,1157.917959981846252906477236
2019-07-03,1156.502702695905143198749962
2019-07-04,1156.304830513463108581579445
2019-07-05,1155.691637260572176993610197
2019-07-08,1154.459221381015162935681903
